Start date,End date,Biomass [MW] Original resolutions,Hydropower [MW] Original resolutions,Wind offshore [MW] Original resolutions,Wind onshore [MW] Original resolutions,Photovoltaics [MW] Original resolutions,Other renewable [MW] Original resolutions,Nuclear [MW] Original resolutions,Lignite [MW] Original resolutions,Hard coal [MW] Original resolutions,Fossil gas [MW] Original resolutions,Hydro pumped storage [MW] Original resolutions,Other conventional [MW] Original resolutions
2023-01-01,2024-01-01,"8,467.00","5,049.00","8,129.00","57,590.00","63,066.00",0.8333333333333334,"4,056.00","17,692.00","18,559.00","31,808.00","9,379.00","8,958.00"
2024-01-01,2025-01-01,"8,577.00","5,112.00","8,456.00","59,841.00","76,601.00",0.0,-,"18,363.00","18,411.00","36,255.00","9,449.00","8,813.00"
2025-01-01,2026-01-01,"8,766.00","5,350.00","9,215.00","63,192.00","86,408.00",1.0,-,"15,176.00","17,509.00","36,614.00","9,384.00","12,971.00"
